Hhid,Day,Comp,SEC,Age,Child,Ncars,Gend,Wstat,AgeP,Actnr,Atype,With,BT,ET,Home,PPC,Mode,TravTime,TravDist,Eindhoven,Dur
4119113,1,4,2,2,0,1,0,0,2,5,9,0,1445,1455,1,5628,0,10,7.11,1,10
4119113,1,4,2,2,0,1,0,0,2,6,3,0,1515,1525,0,5612,0,20,4.63,1,10
4119113,1,4,2,2,0,1,0,0,2,7,9,0,1545,2700,1,5628,0,20,4.63,1,715
4119128,1,2,3,2,0,2,1,0,2,1,9,0,300,1300,1,5682,,0,,1,600
4119128,1,2,3,2,0,2,1,0,2,2,4,0,1320,1515,0,5611,0,20,16.19,1,155
4119128,1,2,3,2,0,2,1,0,2,3,9,0,1540,1950,1,5682,0,25,16.19,1,250
4119128,1,2,3,2,0,2,1,0,2,4,7,0,1955,2135,0,5683,0,5,1.91,1,140
4119128,1,2,3,2,0,2,1,0,2,5,9,0,2140,2700,1,5682,0,5,1.91,1,360
4119128,1,2,3,2,0,2,0,2,1,1,9,0,300,730,1,5682,,0,,1,270
4119128,1,2,3,2,0,2,0,2,1,2,0,0,750,1645,0,5651,0,20,13.8,1,575
4119128,1,2,3,2,0,2,0,2,1,3,9,0,1705,2700,1,5682,0,20,13.8,1,635
4120008,1,1,2,1,0,0,0,2,1,1,9,0,300,800,1,5644,,0,,1,300
4120008,1,1,2,1,0,0,0,2,1,2,9,0,815,2215,1,5644,1,15,0,1,840
4120008,1,1,2,1,0,0,0,2,1,3,0,0,2230,2230,0,5625,1,15,7.79,1,0
4120008,1,1,2,1,0,0,0,2,1,4,9,0,2245,2700,1,5644,1,15,7.79,1,295
4121117,1,1,1,0,0,1,0,2,0,1,9,0,300,1130,1,2517,,0,,1,510
4121117,1,1,1,0,0,1,0,2,0,2,2,0,1150,1155,0,5611,0,20,145.86,1,5
4121117,1,1,1,0,0,1,0,2,0,3,0,0,1325,2150,0,1011,0,90,125.33,1,505
4121117,1,1,1,0,0,1,0,2,0,4,6,0,2230,2305,0,1011,0,40,0,1,75
4121117,1,1,1,0,0,1,0,2,0,5,9,0,2320,2700,1,2517,0,15,62.26,1,260
4121168,1,2,2,1,1,2,0,2,1,1,9,0,300,725,1,4824,,0,,1,265
4121168,1,2,2,1,1,2,0,2,1,2,0,0,815,1645,0,5653,0,50,63.15,1,510
4121168,1,2,2,1,1,2,0,2,1,3,9,0,1735,2700,1,4824,0,50,63.15,1,605
4121168,1,2,2,1,1,2,1,0,1,1,9,0,300,800,1,4824,,0,,1,300
4121168,1,2,2,1,1,2,1,0,1,2,2,0,815,900,0,4816,0,15,4.14,1,85
4121168,1,2,2,1,1,2,1,0,1,3,9,0,915,1030,1,4824,0,15,4.14,1,75
4121168,1,2,2,1,1,2,1,0,1,4,3,0,1100,1115,0,4824,1,30,0,1,15
4121168,1,2,2,1,1,2,1,0,1,5,9,0,1130,1245,1,4824,1,15,0,1,75
4121168,1,2,2,1,1,2,1,0,1,6,2,0,1300,1315,0,4816,0,15,4.14,1,15
4121168,1,2,2,1,1,2,1,0,1,7,9,0,1330,1600,1,4824,0,15,4.14,1,190
4121168,1,2,2,1,1,2,1,0,1,8,0,0,1615,1700,0,4819,0,15,4.79,1,85
4121168,1,2,2,1,1,2,1,0,1,9,6,0,1720,1745,0,4824,0,20,4.79,1,25
4121168,1,2,2,1,1,2,1,0,1,10,9,0,1750,2000,1,4824,0,5,0,1,170
4121168,1,2,2,1,1,2,1,0,1,11,6,0,2010,2250,0,4816,0,10,4.14,1,160
